Artist,Song,Year,Song Year,Header
Supremes,You Keep Me Hangin' On,1966,You Keep Me Hangin' On (1966),Band/Artist from Song
Deee-Lite,Groove Is in the Heart,1990,Groove Is in the Heart (1990),Band/Artist from Song
The Who,My Generation,1965,My Generation (1965),Band/Artist from Song
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1987,I Wanna Dance with Somebody (Who Loves Me) (1987),Band/Artist from Song
The Byrds, Mr. Tambourine Man,1965, Mr. Tambourine Man (1965),Band/Artist from Song
Woody Guthrie,This Land Is Your Land,1951,This Land Is Your Land (1951),Band/Artist from Song
Beyonce, Single Ladies (Put a Ring on It),2008, Single Ladies (Put a Ring on It) (2008),Band/Artist from Song
CCR,Fortunate Son,1969,Fortunate Son (1969),Band/Artist from Song
The Smiths,There Is a Light That Never Goes Out,1986,There Is a Light That Never Goes Out (1986),Band/Artist from Song
Joni Mitchell,"Both Sides, Now",1969,"Both Sides, Now (1969)",Band/Artist from Song
Derek and the Dominos,Layla,1970,Layla (1970),Band/Artist from Song
Eminem,Stan,2000,Stan (2000),Band/Artist from Song
"Crosby, Stills & Nash",Suite: Judy Blue Eyes,1969,Suite: Judy Blue Eyes (1969),Band/Artist from Song
Ike and Tina Turner,River Deep – Mountain High,1966,River Deep – Mountain High (1966),Band/Artist from Song
New Order,Bizarre Love Triangle,1986,Bizarre Love Triangle (1986),Band/Artist from Song
Tom Petty,Free Fallin',1989,Free Fallin' (1989),Band/Artist from Song
Wilson Pickett,In the Midnight Hour,1965,In the Midnight Hour (1965),Band/Artist from Song
Stevie Nicks,Edge of Seventeen,1981,Edge of Seventeen (1981),Band/Artist from Song
Elvis,Jailhouse Rock,1957,Jailhouse Rock (1957),Band/Artist from Song
Mobb Deep,Shook Ones (Part II),1995,Shook Ones (Part II) (1995),Band/Artist from Song
Steely Dan,Deacon Blues,1977,Deacon Blues (1977),Band/Artist from Song
The Rolling Stones, Paint It Black,1966, Paint It Black (1966),Band/Artist from Song
Boston,More Than a Feeling,1976,More Than a Feeling (1976),Band/Artist from Song
U2,With or Without You,1987,With or Without You (1987),Band/Artist from Song
Funkadelic,One Nation Under a Groove,1978,One Nation Under a Groove (1978),Band/Artist from Song
Don Henley,The Boys of Summer,1984,The Boys of Summer (1984),Band/Artist from Song
Hole,Doll Parts,1994,Doll Parts (1994),Band/Artist from Song
Rage Against the Machine,Killing in the Name,1992,Killing in the Name (1992),Band/Artist from Song
Glen Campbell,Wichita Lineman,1968,Wichita Lineman (1968),Band/Artist from Song
Britney Spears, …Baby One More Time,1998, …Baby One More Time (1998),Band/Artist from Song
David Bowie, Young Americans,1975, Young Americans (1975),Band/Artist from Song
